compound,section,correction_structure,correction_composition,correction_verdict,rwp_auto,rwp_manual,frac_auto_pct,frac_manual_pct,prx_e1,prx_e2,prx_e3,prx_e4,prx_proposed_sym,prx_indexed_sym,prx_candidates,prx_icsd_codes,prx_uncertain,scan_auto_sg,scan_auto_disordered,scan_mixed_sites,correction_rivals,auto_cif,auto_cif_sha256,auto_cif_resolved,man_cif,man_cif_sha256,man_cif_resolved,ordering_note
MgNi(PO3)4,main,confirmed,confirmed,confirmed,7.53,5.16,,90.79,1,0,1,0,C2/c (15),C2/c (15),Mg3(PO4)2; Ni3(PO4)2; (Ni;Mn)3(PO4)2,31005;153159;158525,0,C2/c,0,,Mg2(PO3)4 ICSD #4280 [ICSD 4280]; Ni2(PO3)4 ICSD #409092 [ICSD 409092],data/cifs/Automated_Refinement_Results/MgNi(PO3)4/MgNi(PO3)4.cif,e86fd5fba0a6fde3c45e9e904d8e5d3aaf02f1297a27d59a91dfe8c7ea084bbf,True,data/cifs/Manual_Refinement_Results/MgNi(PO3)4/MgNi(PO3)4.cif,d75b7cb7f25ef06487a18e61f2b58a13c6c2a11ebc5d75b53d2644e9422011a1,True,True
Mn4Zn3(NiO6)2,main,confirmed,confirmed,confirmed,5.59,4.32,,91.32,0,0,1,0,C2/c (15),C2/c (15),(Zn0.759Mn0.241)(Mn1.35Ni0.65)O4; NiO,92223;9866,0,C2/c,0,,Mn1.591Zn0.759Ni0.65O4 ICSD #92223 [ICSD 92223]; Mn2.024Zn0.326Ni0.65O4 ICSD #92222 [ICSD 92222],data/cifs/Automated_Refinement_Results/Mn4Zn3(NiO6)2/Mn4Zn3(NiO6)2.cif,c20ed4620b08714e175cb696f0661d4600beb7e8a672e556279a3571cc848fd3,True,data/cifs/Manual_Refinement_Results/Mn4Zn3(NiO6)2/Mn4Zn3(NiO6)2.cif,66a4b2dc93973d9747c6c79eff09a6e7b88d7cbd2338d2349ff694779da254c3,True,True
MgCuP2O7,main,confirmed,confirmed,confirmed,9.43,5.34,,,0,1,1,0,P-1 (2),P-1 (2),Mg2P2O7,20295,0,P-1,1,Mg0.5 Cu0.5,MgCuP2O7 A-Lab (automated) Prototype matches MgCuP2O7 Boukhari et al. (1990); Mg2P2O7 ICSD #20295 [ICSD 20295]; Cu2P2O7 ICSD #27436 [ICSD 27436],data/cifs/Automated_Refinement_Results/MgCuP2O7/MgCuP2O7.cif,7a57a0620f3ef31bd0ec4845fa1abbbd44bf805c7567871f1ea56bac3a98722c,True,data/cifs/Manual_Refinement_Results/MgCuP2O7/MgCuP2O7.cif,f90b0c9f7c9389ee6d036ec1a904a606ca87435b809eafb8399665c94960f768,True,True
Mn2VPO7,main,confirmed,confirmed,confirmed,3.21,2.89,,,1,0,1,0,Cm (8),Cm (8),Mg2P2O7 [sic printed; body text implies Mn2P2O7],47136,0,Cm,0,,Mn2P2O7  ICSD #47136 [ICSD 47136]; Mn2V2O7 ICSD #24321 [ICSD 24321],data/cifs/Automated_Refinement_Results/Mn2VPO7/Mn2VPO7.cif,5a4f3859c025b4c190d8698de2a16b72d08be54ccb5dc432e6ac0a938347383c,True,data/cifs/Manual_Refinement_Results/Mn2VPO7/Mn2VPO7.cif,082d8e4018a235af034ce5acb625a0bdde8ca999349c0d2b2437fbdd2f089014,True,True
MgTi4(PO4)6,main,confirmed,confirmed,confirmed,14.51,9.93,,88.21,0,0,0,1,R3 (146),R3 (146),Mg0.5Ti2(PO4)3,74287,0,R-3,0,,,data/cifs/Automated_Refinement_Results/MgTi4(PO4)6/MgTi4(PO4)6.cif,bf23aa80548e75959b1b296bcc1595fbb070d96c8d270957d96b6fb56b80a5df,True,data/cifs/Manual_Refinement_Results/MgTi4(PO4)6/MgTi4(PO4)6.cif,8666a2bd07db1ef91e0adb1eac0003183b5d307610c433ee010726dccb69e0c9,True,True
CaFe2P2O9,main,confirmed,confirmed,confirmed,2.34,2.44,75.8,72.32,0,0,0,0,Pnma (62),Pnma (62),NO MATCHES,,0,Pnma,0,,,data/cifs/Automated_Refinement_Results/CaFe2P2O9/CaFe2P2O9.cif,09b220e188f831f3e473e6b7dde99133469ac461956656a1e967608540b8fc68,True,data/cifs/Manual_Refinement_Results/CaFe2P2O9/CaFe2P2O9.cif,85fa04579dd7abde51fc4dd6f0ba10895967c1ad4c8d9846029a3429344725c9,True,True
Zr2Sb2Pb4O13,main,confirmed,confirmed,confirmed,8.2,7.78,,,0,0,1,0,Imm2 (44),Imm2 (44),Pb2(Zr;Sb)O6.5,62721,0,Imm2,0,,Sb2Pb2O7 ICSD #27120 [ICSD 27120],data/cifs/Automated_Refinement_Results/Zr2Sb2Pb4O13/Zr2Sb2Pb4O13.cif,ccd344f9398d804561d6955eddfbed127566a8f9ac63ff41982d65b5a9674e85,True,data/cifs/Manual_Refinement_Results/Zr2Sb2Pb4O13/Zr2Sb2Pb4O13.cif,2ca1d6e4240c07c3c1e8c4c0d929823e945131a7f1639b47f6b4cc305ea1adc7,True,True
FeSb3Pb4O13,main,confirmed,confirmed,confirmed,8.86,7.79,,95.42,0,0,1,0,R3m (160),R3m (160),Pb2(Fe;Sb)O6.5,60805,0,F-43m,1,Fe0.25 Sb0.75,Sb2Pb2O7 ICSD #27120 [ICSD 27120],data/cifs/Automated_Refinement_Results/FeSb3Pb4O13/FeSb3Pb4O13.cif,19362a02d7d7a9b6da03e4ad16f9585cda332299076c0a2fcde087a737e01d77,True,data/cifs/Manual_Refinement_Results/FeSb3Pb4O13/FeSb3Pb4O13.cif,0e4879dc64d09be791265df1976c051f1c9655547da6b6319d191cfb360594d2,True,True
Ba6Na2V2Sb2O17,main,confirmed,confirmed,confirmed,13.62,8.92,,88.18,1,0,0,0,P63mmc (194),P63mmc (194),BaNaVO4; NaVO3,130002;2103,0,P6_3/mmc,0,,,data/cifs/Automated_Refinement_Results/Ba6Na2V2Sb2O17/Ba6Na2V2Sb2O17.cif,6fd37dbdbac7182aae886d183bce172adbc080555909f8b2eae506f09a800a8f,True,data/cifs/Manual_Refinement_Results/Ba6Na2V2Sb2O17/Ba6Na2V2Sb2O17.cif,449ccb5bca427d72e777d085c8095a7b85632dbcecb3e64d76c3b8e7ef57ca48,True,True
MgV4Cu3O14,main,confirmed,confirmed,confirmed,5.64,4.35,,82.77,1,1,1,0,P1 (1),P1 (1),(Cu1.5Mg0.5)V2O7,69731,0,P1,0,,Cu2V2O7 ICSD #23479 [ICSD 23479],data/cifs/Automated_Refinement_Results/MgV4Cu3O14/MgV4Cu3O14.cif,c6dc9d98bbf2cd006a0085fd61ecb95c60a6ceacac4ba2c49c6f9f0077082b23,True,data/cifs/Manual_Refinement_Results/MgV4Cu3O14/MgV4Cu3O14.cif,d7cf192ed97af5cbfbfdc9b3383f000c44749efd3a3c6152cf66926a93711554,True,True
CaCo(PO3)4,main,confirmed,confirmed,confirmed,1.94,1.97,,,0,0,1,0,C2/c (15),C2/c (15),Co2P2O7; Ca3(PO4)2,2830;923,0,C2/c,0,,Co2(PO3)4 ICSD #300027 [ICSD 300027],data/cifs/Automated_Refinement_Results/CaCo(PO3)4/CaCo(PO3)4.cif,950b0eeb65c72a28ed3c2263d931a794dad723a7d6e61782e222a03dd5548d06,True,data/cifs/Manual_Refinement_Results/CaCo(PO3)4/CaCo(PO3)4.cif,f96be2b5f5f5956ad330af43d0a8150a6f0d14f0db250812cb5418c23ffa885b,True,True
K4TiSn3(PO5)4,main,confirmed,confirmed,confirmed,14.28,6.49,,77.91,1,0,0,0,P21 (4),P21 (4),K((Ti0.25Sn0.75)O)(PO4),250088,0,P2_1,0,,KTiPO5 ICSD #6199 [ICSD 6199]; KSnPO5 ICSD #79650 [ICSD 79650],data/cifs/Automated_Refinement_Results/K4TiSn3(PO5)4/K4TiSn3(PO5)4.cif,bae4d5dd43042645c7b40c0ec8aa97c78c7fb820bfd98ad254978766214a2990,True,data/cifs/Manual_Refinement_Results/K4TiSn3(PO5)4/K4TiSn3(PO5)4.cif,423b88eeeb3f7161e457616fadacecf11cfb9131ce03308806398d134777baaa,True,True
KPr9(Si3O13)2,main,confirmed,confirmed,confirmed,12.99,6.66,,81.55,1,1,0,0,P3 (143),P3 (143),Pr9.33Si6O32 (EVA),NA,0,P3,1,K0.1 Pr0.9,Pr9.33(Si3O13)2 [Felsche (1972)],data/cifs/Automated_Refinement_Results/KPr9(Si3O13)2/KPr9(Si3O13)2.cif,f61245ea1e36c45798c02f73a83035e5de5c8c1adbfce702db79c5c153843e80,True,data/cifs/Manual_Refinement_Results/KPr9(Si3O13)2/KPr9(Si3O13)2.cif,0ad3ca3dda35c89a716b885faaf8dc4deebfd357b6f4b92b78ebcebbbdb90509,True,True
KNaP6(PbO3)8,main,confirmed,confirmed,confirmed,18.75,9.44,,71.1,1,1,1,0,P3 (143),P63/m (176),(Na;K)Pb4(PO4)3; Pb8O5(PO4)2,182501;98702,0,P6_3/m,1,K0.25 Na0.25 Pb0.5,K2Pb8(PO4)6 ICSD #16351 [ICSD 16351]; Na2Pb8(PO4)6 ICSD #91793 [ICSD 91793],data/cifs/Automated_Refinement_Results/KNaP6(PbO3)8/KNaP6(PbO3)8.cif,d1ea43be0fd408907aa49f552ae2fd9ef8ce7f131f77135a4f3579635404d50b,True,data/cifs/Manual_Refinement_Results/KNaP6(PbO3)8/KNaP6(PbO3)8.cif,e10d12e20c4ca28ba5e2495a0cbd5c015908c04b494269b9fa58da6662d50e3b,True,True
MnAgO2,main,confirmed,confirmed,confirmed,7.31,3.89,,97.72,1,0,0,1,C2/m (12),C2/m (12),MnAgO2 [ALREADY KNOWN],139006,0,C2/m,0,,,data/cifs/Automated_Refinement_Results/MnAgO2/MnAgO2.cif,1da7871645b6eeb37442e4d4981ce768815a8b9fa49377a0917154988b6ce9b0,True,data/cifs/Manual_Refinement_Results/MnAgO2/MnAgO2.cif,8fb28e033da7c031b9ce5c86b6d577dd62851a13e6d3b44991cb717d88f62963,True,True
